Date,Open,High,Low,Close,Volume
2024-06-12,1570.0,1590.0,1570.0,1571.68,33171
2024-06-13,1576.77,1576.89,1553.15,1555.01,36186
2024-06-14,1555.0,1563.96,1520.46,1555.0,59514
2024-06-17,1532.29,1548.77,1511.01,1541.5,48318
2024-06-18,1530.89,1554.54,1516.68,1521.5,41258
2024-06-19,1497.99,1504.0,1482.1,1501.0,41262
2024-06-20,1500.0,1516.01,1498.0,1500.1,24711
2024-06-21,1500.5,1504.98,1470.22,1471.0,43320
2024-06-24,1423.0,1488.99,1414.01,1476.55,63840
2024-06-25,1477.0,1502.99,1477.0,1486.65,42098
2024-06-26,1480.0,1501.07,1477.8,1489.22,29570
2024-06-27,1492.0,1493.97,1468.0,1490.49,32822
2024-06-28,1480.0,1494.49,1464.0,1467.39,38582
2024-07-01,1468.88,1472.99,1428.0,1440.38,32161
2024-07-02,1433.0,1498.0,1433.0,1490.7,51853
2024-07-03,1499.0,1513.01,1488.02,1500.0,31573
2024-07-04,1505.0,1512.0,1481.13,1485.74,24380
2024-07-05,1479.0,1493.18,1450.0,1453.0,38829
2024-07-08,1443.0,1457.77,1419.14,1420.0,39527
2024-07-09,1420.0,1454.89,1410.1,1438.03,33621
2024-07-10,1439.25,1465.88,1435.0,1437.59,23763
2024-07-11,1449.97,1469.0,1440.21,1462.09,29020
2024-07-12,1473.01,1486.4,1465.45,1478.82,23386
2024-07-15,1470.0,1488.0,1470.0,1474.9,19176
2024-07-16,1476.0,1482.0,1465.05,1476.0,20316
2024-07-17,1476.1,1503.0,1470.02,1501.4,34311
2024-07-18,1499.5,1515.0,1492.53,1497.51,28870
2024-07-19,1490.81,1529.18,1484.01,1525.62,38943
2024-07-22,1525.03,1529.98,1491.65,1499.0,28543
2024-07-23,1499.0,1501.0,1455.0,1455.0,30944
2024-07-24,1450.2,1463.7,1435.0,1440.02,24123
2024-07-25,1440.02,1448.0,1420.01,1430.49,28347
2024-07-26,1430.49,1437.72,1410.9,1422.19,32354
2024-07-29,1415.0,1421.99,1398.0,1398.02,30869
2024-07-30,1385.98,1390.27,1361.3,1379.99,51779
2024-07-31,1373.1,1427.27,1373.1,1421.28,43272
2024-08-01,1418.0,1420.0,1384.7,1386.16,32038
2024-08-02,1373.6,1396.97,1373.6,1385.45,21928
2024-08-05,1388.88,1426.0,1385.52,1410.01,37736
2024-08-06,1422.0,1424.0,1394.01,1404.7,27444
2024-08-07,1405.5,1421.99,1398.3,1415.5,20622
2024-08-08,1411.0,1448.18,1409.0,1430.69,25131
2024-08-09,1460.03,1469.0,1436.8,1436.8,30138
2024-08-12,1430.0,1443.0,1426.58,1436.1,13632
2024-08-13,1433.0,1435.0,1412.01,1423.01,16308
2024-08-14,1423.01,1424.9,1412.02,1413.3,13414
2024-08-15,1405.03,1435.99,1403.95,1426.89,23039
2024-08-16,1426.79,1435.92,1417.01,1431.2,16455
2024-08-19,1432.0,1458.88,1425.0,1425.44,20433
2024-08-20,1429.9,1429.93,1414.0,1422.72,18591
2024-08-21,1420.0,1427.98,1415.69,1417.58,15092
2024-08-22,1416.0,1420.0,1400.01,1410.05,19527
2024-08-23,1408.0,1423.5,1406.12,1414.99,15320
2024-08-26,1417.0,1423.86,1403.15,1412.0,15628
2024-08-27,1412.0,1413.0,1401.11,1404.07,13657
2024-08-28,1404.07,1406.0,1375.0,1389.0,31664
2024-08-29,1380.0,1418.0,1380.0,1413.3,27472
2024-08-30,1413.0,1458.07,1405.0,1443.19,38739
2024-09-02,1430.0,1438.0,1395.0,1395.0,34135
2024-09-03,1398.0,1414.98,1393.02,1410.0,17888
2024-09-04,1402.0,1419.19,1399.74,1400.0,14211
2024-09-05,1400.5,1407.0,1397.0,1404.88,14503
2024-09-06,1405.0,1406.0,1398.0,1398.0,10321
2024-09-09,1380.01,1393.71,1370.08,1375.0,28638
2024-09-10,1370.02,1393.0,1370.02,1378.0,19803
2024-09-11,1375.6,1385.88,1365.0,1380.0,20996
2024-09-12,1380.0,1385.0,1334.91,1335.06,47948
2024-09-13,1331.0,1332.0,1297.3,1304.13,56005
2024-09-18,1300.0,1300.01,1266.66,1266.9,46185
2024-09-19,1262.0,1292.88,1245.83,1261.0,59988
2024-09-20,1261.5,1273.9,1250.03,1263.92,39982
2024-09-23,1268.0,1293.5,1260.66,1261.54,45550
2024-09-24,1285.09,1373.0,1265.09,1372.6,100413
2024-09-25,1400.05,1427.0,1396.71,1399.0,73954
2024-09-26,1399.96,1529.87,1396.0,1529.0,97278
2024-09-27,1600.0,1629.2,1565.36,1629.2,87922
2024-09-30,1692.0,1759.88,1652.0,1748.0,157293
2024-10-08,1910.0,1910.0,1680.18,1723.0,194709
2024-10-09,1700.0,1700.0,1590.0,1595.15,120197
2024-10-10,1622.26,1668.08,1591.0,1640.0,74603
2024-10-11,1615.4,1639.96,1590.0,1604.99,41915
2024-10-14,1613.0,1620.63,1581.17,1601.99,44812
2024-10-15,1599.0,1600.99,1553.01,1554.25,43571
2024-10-16,1540.88,1549.8,1510.0,1522.5,46664
2024-10-17,1537.0,1537.66,1493.41,1494.6,39460
2024-10-18,1493.0,1567.84,1478.96,1541.0,68619
2024-10-21,1541.21,1549.97,1521.21,1528.8,42008
2024-10-22,1526.56,1560.18,1524.2,1543.0,36269
2024-10-23,1544.11,1576.95,1532.0,1567.5,40088
2024-10-24,1561.0,1575.0,1545.01,1552.2,23923
2024-10-25,1547.0,1574.79,1546.01,1558.85,27745
2024-10-28,1560.0,1565.0,1522.23,1565.0,39121
2024-10-29,1560.0,1580.0,1530.0,1531.62,41166
2024-10-30,1525.0,1551.19,1523.41,1532.0,32006
2024-10-31,1532.15,1540.0,1520.0,1527.79,29957
2024-11-01,1521.0,1545.13,1520.8,1533.75,32284
2024-11-04,1544.93,1550.0,1528.06,1548.2,29093
2024-11-05,1540.0,1577.7,1536.01,1576.99,45640
2024-11-06,1575.0,1588.99,1561.22,1571.0,37631
2024-11-07,1562.46,1653.5,1562.3,1649.14,74739
2024-11-08,1660.89,1667.11,1601.01,1609.97,60771
2024-11-11,1590.0,1609.95,1567.19,1598.01,43854
2024-11-12,1589.0,1623.0,1573.95,1577.2,49223
2024-11-13,1568.0,1586.66,1561.28,1578.5,29125
2024-11-14,1570.0,1594.45,1565.65,1573.8,29248
2024-11-15,1569.0,1583.8,1553.0,1559.0,33761
2024-11-18,1562.0,1575.99,1555.0,1559.0,27092
2024-11-19,1565.0,1569.37,1525.0,1541.92,33266
2024-11-20,1543.0,1553.97,1531.3,1544.81,21345
2024-11-21,1543.87,1548.99,1532.0,1545.13,18262
2024-11-22,1541.15,1547.77,1507.82,1507.82,33436
2024-11-25,1511.0,1532.0,1496.67,1498.57,33186
2024-11-26,1498.57,1518.88,1488.88,1509.0,25745
2024-11-27,1509.0,1522.15,1505.0,1519.05,25934
2024-11-28,1522.0,1524.99,1502.0,1518.0,23952
2024-11-29,1517.0,1555.0,1513.21,1525.74,36088
2024-12-02,1526.0,1529.99,1515.1,1525.0,26820
2024-12-03,1524.0,1528.9,1516.08,1526.74,24807
2024-12-04,1520.07,1523.66,1510.0,1520.0,23924
2024-12-05,1510.86,1517.86,1510.0,1511.0,16141
2024-12-06,1513.0,1538.9,1508.07,1521.01,32040
2024-12-09,1522.02,1529.72,1513.2,1518.8,19800
2024-12-10,1570.0,1579.73,1545.18,1546.59,60312
2024-12-11,1540.0,1555.0,1530.98,1535.6,29671
2024-12-12,1532.02,1566.0,1529.0,1565.8,41937
2024-12-13,1550.01,1554.99,1518.88,1519.0,49512
2024-12-16,1521.0,1529.0,1510.71,1527.2,32537
2024-12-17,1525.99,1569.0,1521.01,1558.0,54172
2024-12-18,1557.97,1577.0,1547.1,1571.5,41162
2024-12-19,1565.14,1567.93,1550.33,1551.01,24809
2024-12-20,1531.13,1541.8,1520.02,1522.0,28158
2024-12-23,1523.0,1538.0,1517.0,1526.45,21603
2024-12-24,1525.0,1544.0,1521.59,1538.82,22105
2024-12-25,1538.8,1538.8,1526.1,1530.0,17123
2024-12-26,1534.0,1538.78,1523.0,1527.79,18287
2024-12-27,1528.9,1536.0,1519.5,1528.97,20759
2024-12-30,1533.97,1543.96,1525.0,1525.0,25130
2024-12-31,1525.4,1545.0,1522.01,1524.0,39354
2025-01-02,1524.0,1524.49,1480.0,1488.0,50029
2025-01-03,1494.5,1494.99,1467.01,1475.0,32628
2025-01-06,1453.0,1462.66,1432.8,1440.0,44255
2025-01-07,1444.66,1451.89,1439.0,1440.2,24221
2025-01-08,1440.0,1451.82,1426.66,1442.5,35258
2025-01-09,1448.99,1464.58,1432.98,1444.0,29706
2025-01-10,1447.1,1451.95,1436.0,1436.0,21872
2025-01-13,1425.0,1444.44,1422.01,1443.98,21083
2025-01-14,1444.95,1478.68,1442.0,1472.5,30957
2025-01-15,1467.0,1474.6,1460.01,1471.27,18399
2025-01-16,1474.0,1482.66,1442.0,1446.38,26342
2025-01-17,1446.39,1461.0,1446.38,1454.75,18309
2025-01-20,1461.0,1489.79,1460.0,1474.8,31410
2025-01-21,1481.0,1482.0,1465.0,1468.15,16856
2025-01-22,1463.27,1467.95,1438.0,1441.0,28294
2025-01-23,1449.97,1468.0,1438.0,1443.0,27125
2025-01-24,1442.0,1447.79,1430.31,1436.0,31360
2025-01-27,1437.0,1443.97,1427.02,1434.99,29356
2025-02-05,1440.0,1443.0,1402.21,1403.8,40757
2025-02-06,1400.01,1421.99,1400.01,1412.84,27356
2025-02-07,1413.68,1442.68,1403.41,1436.0,37242
2025-02-10,1438.0,1440.0,1427.09,1431.51,20840
2025-02-11,1434.95,1435.96,1415.9,1418.0,23573
2025-02-12,1418.0,1445.0,1416.88,1443.0,25476
2025-02-13,1443.02,1475.25,1434.51,1465.06,43385
2025-02-14,1465.06,1477.0,1458.22,1475.0,27100
2025-02-17,1481.0,1494.98,1467.1,1471.62,32471
2025-02-18,1470.0,1492.99,1462.08,1475.0,27800
2025-02-19,1475.05,1494.44,1464.9,1491.0,32393
2025-02-20,1483.0,1491.97,1473.39,1474.0,23750
2025-02-21,1480.0,1496.73,1473.01,1488.21,36418
2025-02-24,1488.0,1499.52,1474.0,1479.07,34744
2025-02-25,1470.01,1473.39,1452.0,1454.0,28387
2025-02-26,1455.45,1464.96,1445.0,1460.01,26366
2025-02-27,1460.02,1489.9,1454.0,1485.56,49762
2025-02-28,1485.5,1528.38,1482.0,1500.79,56129
2025-03-03,1502.6,1520.99,1481.5,1487.02,31596
2025-03-04,1485.0,1486.0,1465.21,1470.11,25211
2025-03-05,1472.0,1474.0,1460.1,1466.37,24605
2025-03-06,1474.0,1510.2,1472.08,1505.98,42168
2025-03-07,1503.0,1528.36,1503.0,1521.0,37991
2025-03-10,1519.81,1526.88,1506.14,1522.9,31369
2025-03-11,1517.0,1548.68,1512.0,1548.68,39776
2025-03-12,1546.96,1549.68,1526.35,1542.58,29604
2025-03-13,1544.0,1555.5,1530.88,1537.77,25724
2025-03-14,1547.66,1628.01,1541.0,1628.01,92913
2025-03-17,1657.0,1657.99,1626.88,1637.86,54689
2025-03-18,1645.04,1652.0,1621.7,1624.0,31613
2025-03-19,1624.29,1648.0,1623.0,1635.71,27390
2025-03-20,1635.71,1637.6,1595.07,1604.0,36737
